start	end	text
0	7000	Você está ouvindo o Tribo do FII Podcast
12000	17000	Nesta noite, conheci um blog, o desenhador
20000	22000	Depois eu vou trilhar isso
30000	33000	Aqui é a Sebastião Hellson e eu não sei usar as linhas auxiliares
33000	36000	Eu sou alemão e eu desenho o dente falso nos policios
38000	43000	Eu sou o Moza Couto e estou desenhando com o sóbito alívio
43000	47000	E tem gente que não está gostando, muita gente
52000	55000	Episódio 14, entrevista com o Moza Couto
55000	57000	Parte 1 de 2
61000	65000	Queria começar aqui, falam sobre as suas carreiras
65000	70000	Assim, se tu teve artista na família ou tu começou sozinho e teve influência de alguém
70000	72000	Como é que começou essa...
72000	75000	O seu nome, por exemplo, influência de algum artista
78000	80000	É, acho que começa por aí
80000	84000	Meu avô, que gostava muito de música clássica
84000	88000	Ele gostava um pouco de tocar violino, não chegou a tocar não
88000	90000	E aí colocou esse nome no meu pai
90000	93000	Meu pai também é Moza Couto
93000	96000	Eu sou cunha da mãe
96000	99000	Por causa disso, porque gostava muito de música clássica
99000	101000	E foi um homenagem ao músculo
101000	103000	E meu pai era músico
103000	106000	Meu pai se dedicou muito a música e também desenhava
106000	108000	Mas mais desenho técnico
108000	113000	E eu acabei desenvolvendo esse desenho mais artístico, mais livre
113000	115000	Então a família da mãe também
115000	117000	Todo mundo gostava muito de música
117000	121000	Minha mãe cantava, foi cantora amadora
121000	124000	Inclusive ela conheceu o meu pai na época do rádio
124000	126000	Na época de ouro do rádio
126000	128000	Porque o meu pai, nessa época, ele era músico
128000	130000	Trabalhava na noite, tinha um...
130000	133000	Chamava antigamente o regional, que era minha cidade
133000	135000	Então quando vinha os grandes artistas aqui
135000	137000	Ele acompanhava eles na rádio
137000	140000	Vinha Luiz Gonzaga, que até morou aqui um tempo
140000	143000	Doi Valcaim, me estava de Oliveira
143000	145000	E meu pai tinha esse regional
145000	147000	E ele acompanhava eles cantando
147000	150000	E naquela época tinha esses concursos na rádio
150000	152000	E aí que ele conheceu minha mãe
152000	154000	Então todo mundo é muito ligado em música
154000	156000	E desenho, pintura, em geral
156000	159000	Aí gostavam de quadrinhos também
159000	162000	Meu pai, meus tis, eles...
162000	164000	Meu pai então gostava muito
164000	166000	Aí facilita pra caramba, né?
166000	168000	Então nunca teve nada contra
168000	171000	Todo mundo é favor da maior força
171000	172000	Isso ajuda bem
172000	173000	É porque eu falo assim
173000	175000	Porque eu fui aspirante de várias profissões
175000	177000	Mas assim, que a família
177000	180000	Levasse a série como profissão de verdade
180000	181000	Fora um pouco, né?
181000	182000	Por isso que eu perguntei
182000	184000	Porque eu queria ser hip
184000	186000	Aí minha mãe me deixou
186000	188000	Aí eu queria desenhar, porque eu sempre desenhei
188000	190000	Aí também não era uma ideia a maneira
190000	194000	Eu fiz até aquele curso do Instituto Universal, sabe?
194000	196000	Instituto Universal
196000	197000	Desenhar artistas que publicitaram
197000	198000	O meu padracho falou
198000	200000	Pode se inscrever aí, que eu vou pagar tudo, né?
200000	202000	Daí veio só a primeira postila, que é de graça
202000	204000	E ele não pagou mais
204000	207000	Aquela velha história, né? Coloca
207000	209000	Depois ele vai cansar e...
209000	210000	É, é
210000	212000	Eu tava comentando aqui com alemão, né?
212000	213000	É criança, né?
213000	215000	Cara, não, deixa ele fazer essa atividade aí
215000	218000	Depois ele enjoa, depois ele procura outra coisa
218000	220000	Pelo menos não fica mais estindo saco
220000	223000	Não, mas eu já tinha essa tendência
223000	225000	E desde pequena aquela coisa, né?
225000	227000	Toda criança desenha, né?
227000	229000	Deve ter uma frase assim, né?
229000	232000	Quem vai desenhar mesmo, não para mais, né?
232000	233000	Continua
233000	234000	Então desde criança eu desenhava
234000	238000	E eu gostava dessa coisa da história ilustrada
238000	240000	Eu desenhava e fazia, né?
240000	241000	Porque eu não sabia escrever
241000	243000	Eu desenhava os balões
243000	246000	E pedia pro meu pai escrever a história pra mim nos balões
246000	250000	E eu já tinha uma certa noção de perspectiva
250000	252000	Já era uma coisa diferente, assim
252000	253000	Dava pra notar
253000	255000	Em 16 anos eu comecei a estudar
255000	257000	Meu pai começou a me ensinar mesmo
257000	260000	Ele conhecia muito, eu só me ensinar mais, assim
260000	262000	Diariamente, né?
262000	264000	Eu seguia direitinho os horários, tá?
264000	267000	Mas e seu pai, ele aprendeu com alguém?
267000	269000	Ou aprendeu a desenhar sozinho?
269000	272000	Nós fomos todos autodidatas, assim
272000	273000	A gente comprava livros
273000	275000	Meu avô já passou pro meu pai
275000	276000	Com uns livros
276000	279000	Aí meu pai deixou pra mim livros antigos
279000	280000	Muito bons
280000	283000	Muitos deles aqui eram impressos na Argentina na época, né?
283000	286000	Que tudo ele estudava, ele já mastigava
286000	288000	Tudo traduziu um monte de coisa
288000	289000	Porque era espanhol
289000	291000	E eu ia lendo depois e ia prendendo
291000	294000	Quando eu comecei, que eu mandei meus primeiros desenhos
294000	297000	Eu já tava assim, de certa forma preparado
297000	300000	Só não conhecia muito material de desenho
300000	302000	Mais a fundo, né?
302000	304000	Ah, assim, essa é a próxima pergunta mesmo
317000	320000	É, quando você começou sua carreira artística
320000	323000	Você deixou de ser um simples desenhista, né?
323000	326000	Aqueles simples que desenhavam um desenho no fundo do caderno
326000	328000	Começou a fazer esses desenhos profissionais mesmo
328000	330000	Deixou de ser hobby, passou pro profissionalismo
330000	334000	É, isso foi no final da década de 70, né?
334000	337000	Eu comecei o movimento que teve de quadrinho
337000	341000	Logo depois que terminou o movimento forte de quadrinho em São Paulo
341000	344000	Um dos organizadores, um dos desenhistas, escritores
344000	347000	O Claudio Ceto, foi pra Curitiba, ficou um tempo lá
347000	350000	E lá ele, numa editora, uma gráfica editora
350000	353000	Ele montou um projeto de fazer quadrinho nacional
353000	356000	E eles começaram a publicar os revistas e convidaram
356000	359000	Iniciantes ou profissionais pra participar
359000	361000	Que tava aberto o espaço
361000	363000	E eu vi por acaso, assim, numa banca
363000	365000	E falei, ah, vou, vou enviar
365000	367000	Que eu já tinha enviado pra uma editora no Rio
367000	370000	Mas não era, eles não publicavam o quadrinho nacional
370000	372000	E eu era muito amador mesmo na época
372000	373000	Era mais novo
373000	375000	Nessa época eu já tava melhor assim
375000	377000	Então o Ceto gostou do meu trabalho
377000	380000	Foi me orientando e eu comecei a publicar
380000	384000	No final de 79, início de 80
384000	385000	Aí não parei mais
